time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2025-04-02,1955.36,1781.4,1905.23,681398.0,1280088185.31,1794.63,direct,
2025-04-03,1844.85,1750.85,1794.63,536404.18,960953835.92,1816.31,direct,
2025-04-04,1835.41,1758.61,1816.31,606949.32,1091295574.19,1816.25,direct,
2025-04-05,1826.56,1764.13,1816.25,153030.66,274947827.91,1805.19,direct,
2025-04-06,1816.3,1537.47,1805.19,836983.71,1375390891.8,1579.65,direct,
2025-04-07,1632.05,1412.16,1579.65,1727049.97,2651234444.53,1552.42,direct,
2025-04-08,1618.09,1445.86,1552.42,872998.71,1332975047.94,1472.15,direct,
2025-04-09,1688.31,1384.7,1472.15,1364371.96,2073024511.21,1669.0,direct,
2025-04-10,1669.34,1472.07,1669.0,854187.14,1330455912.67,1521.51,direct,
2025-04-11,1590.22,1504.16,1521.51,572878.43,891270709.03,1566.02,direct,
2025-04-12,1668.92,1545.25,1566.02,376902.52,610788400.42,1643.84,direct,
2025-04-13,1649.32,1562.63,1643.84,510676.97,819443109.52,1597.18,direct,
2025-04-14,1691.0,1595.15,1597.18,576057.97,946070662.59,1623.79,direct,
2025-04-15,1660.77,1583.09,1623.79,503230.46,816144949.08,1588.7,direct,
2025-04-16,1613.08,1538.57,1588.7,563383.73,890121272.88,1577.24,direct,
2025-04-17,1616.72,1563.01,1577.24,407994.55,649565838.07,1583.68,direct,
2025-04-18,1600.45,1573.8,1583.68,181077.59,287426875.95,1588.56,direct,
2025-04-19,1628.78,1585.02,1588.56,189936.64,304710533.5,1612.74,direct,
2025-04-20,1618.66,1565.79,1612.74,219107.56,348453526.51,1587.31,direct,
2025-04-21,1658.13,1564.65,1587.31,518764.88,836176542.33,1579.7,direct,
2025-04-22,1778.41,1539.87,1579.7,824531.74,1378567169.81,1757.04,direct,
2025-04-23,1833.67,1746.08,1757.04,787466.37,1411088123.18,1795.87,direct,
2025-04-24,1803.32,1723.07,1795.87,493136.05,869951343.89,1770.44,direct,
2025-04-25,1828.79,1739.84,1770.44,574947.84,1028226623.47,1785.94,direct,
2025-04-26,1841.59,1780.01,1785.94,296814.99,535455658.73,1821.45,direct,
2025-04-27,1857.74,1783.01,1821.45,287345.16,520004273.7,1791.85,direct,
2025-04-28,1827.96,1745.4,1791.85,579690.15,1035461893.1,1800.19,direct,
2025-04-29,1843.4,1780.77,1800.19,445834.21,808620394.56,1798.47,direct,
2025-04-30,1817.08,1732.54,1798.47,434187.94,773685384.34,1793.83,direct,
2025-05-01,1873.95,1792.84,1793.83,408309.83,751083284.45,1838.83,direct,
2025-05-02,1871.48,1813.65,1838.83,312353.27,575346916.02,1842.84,direct,
