time,BTC_close,ETH_close,ADA_close
2025-04-02,82490.58,1794.63,0.6398
2025-04-03,83158.8,1816.31,0.6504
2025-04-04,83860.21,1816.25,0.6601
2025-04-05,83503.37,1805.19,0.6546
2025-04-06,78365.57,1579.65,0.5732
2025-04-07,79143.06,1552.42,0.586
2025-04-08,76255.1,1472.15,0.5579
2025-04-09,82587.03,1669.0,0.6312
2025-04-10,79554.96,1521.51,0.6092
2025-04-11,83386.0,1566.02,0.6238
2025-04-12,85272.12,1643.84,0.6593
2025-04-13,83730.92,1597.18,0.6377
2025-04-14,84575.75,1623.79,0.6351
2025-04-15,83638.17,1588.7,0.6092
2025-04-16,84029.4,1577.24,0.6107
2025-04-17,84943.42,1583.68,0.6167
2025-04-18,84459.96,1588.56,0.6273
2025-04-19,85061.54,1612.74,0.628
2025-04-20,85167.14,1587.31,0.62
2025-04-21,87515.57,1579.7,0.6242
2025-04-22,93483.3,1757.04,0.6794
2025-04-23,93729.23,1795.87,0.6979
2025-04-24,94022.48,1770.44,0.7221
2025-04-25,94711.24,1785.94,0.714
2025-04-26,94663.66,1821.45,0.7073
2025-04-27,93777.44,1791.85,0.7035
2025-04-28,95035.06,1800.19,0.7057
2025-04-29,94274.16,1798.47,0.6961
2025-04-30,94186.14,1793.83,0.6818
2025-05-01,96519.31,1838.83,0.7053
2025-05-02,96925.07,1842.84,0.6985
